?
Axis	Energy	Elements=	951

C:\Users\AG Wittstock\Documents\Iza\06_27.01.2017\PET_03\Polyanalyse.DATA\C1s Scan.VGD





Binding Energy (E)				C1s Scan A	C1s Scan B	C1s Scan C	C1s Scan D	Backgnd.	Envelope	Residuals	
eV		Counts / s  (Residuals × 2)		Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)
294.020		1694.68		1661.41	1661.41	1661.41	1677.33	1661.41	1677.33	17.3460	
294.000		1693.53		1661.10	1661.10	1661.10	1677.29	1661.10	1677.29	16.2431	
293.980		1676.38		1660.79	1660.79	1660.79	1677.26	1660.79	1677.26	-0.872681	
293.960		1695.82		1660.49	1660.49	1660.49	1677.24	1660.49	1677.24	18.5842	
293.940		1641.23		1660.29	1660.29	1660.29	1677.32	1660.29	1677.32	-36.0946	
293.920		1713.26		1660.12	1660.12	1660.12	1677.45	1660.12	1677.45	35.8045	
293.900		1632.94		1659.83	1659.83	1659.83	1677.47	1659.83	1677.47	-44.5343	
293.880		1589.21		1659.58	1659.58	1659.58	1677.53	1659.58	1677.53	-88.3257	
293.860		1716.69		1659.25	1659.25	1659.25	1677.53	1659.25	1677.53	39.1551	
293.840		1745.56		1658.90	1658.90	1658.90	1677.52	1658.90	1677.52	68.0344	
293.820		1726.98		1658.56	1658.56	1658.56	1677.52	1658.56	1677.52	49.4589	
293.800		1671.24		1658.21	1658.21	1658.21	1677.52	1658.21	1677.52	-6.28331	
293.780		1591.78		1657.92	1657.92	1657.92	1677.60	1657.92	1677.60	-85.8227	
293.760		1647.23		1657.68	1657.68	1657.68	1677.75	1657.68	1677.75	-30.5163	
293.740		1657.81		1657.50	1657.50	1657.50	1677.95	1657.50	1677.95	-20.1446	
293.720		1561.77		1657.37	1657.37	1657.37	1678.23	1657.37	1678.23	-116.458	
293.700		1606.64		1657.33	1657.33	1657.33	1678.60	1657.33	1678.60	-71.9616	
293.680		1774.14		1657.30	1657.30	1657.30	1679.00	1657.30	1679.00	95.1426	
293.660		1664.67		1657.26	1657.26	1657.26	1679.40	1657.26	1679.40	-14.7337	
293.640		1715.83		1657.22	1657.22	1657.22	1679.82	1657.22	1679.82	36.0103	
293.620		1670.67		1657.18	1657.18	1657.18	1680.25	1657.18	1680.25	-9.58510	
293.600		1684.10		1657.14	1657.14	1657.14	1680.70	1657.14	1680.70	3.40098	
293.580		1655.23		1657.10	1657.10	1657.10	1681.17	1657.10	1681.17	-25.9328	
293.560		1633.51		1657.06	1657.06	1657.06	1681.65	1657.06	1681.65	-48.1391	
293.540		1614.07		1657.02	1657.02	1657.02	1682.15	1657.02	1682.15	-68.0775	
293.520		1643.23		1656.98	1656.98	1656.98	1682.67	1656.98	1682.67	-39.4440	
293.500		1631.80		1656.94	1656.94	1656.94	1683.21	1656.94	1683.21	-51.4166	
293.480		1548.91		1656.90	1656.90	1656.90	1683.77	1656.90	1683.77	-134.866	
293.460		1718.40		1656.86	1656.86	1656.86	1684.35	1656.86	1684.35	34.0504	
293.440		1718.69		1656.82	1656.82	1656.82	1684.95	1656.82	1684.95	33.7359	
293.420		1671.81		1656.78	1656.78	1656.78	1685.57	1656.78	1685.57	-13.7623	
293.400		1633.80		1656.73	1656.73	1656.73	1686.22	1656.73	1686.22	-52.4259	
293.380		1727.26		1656.69	1656.69	1656.69	1686.89	1656.69	1686.89	40.3676	
293.360		1677.81		1656.65	1656.65	1656.65	1687.59	1656.65	1687.59	-9.78030	
293.340		1690.10		1656.61	1656.61	1656.61	1688.32	1656.61	1688.32	1.78490	
293.320		1684.10		1656.56	1656.56	1656.56	1689.07	1656.56	1689.07	-4.96943	
293.300		1654.66		1656.52	1656.52	1656.52	1689.85	1656.52	1689.85	-35.1900	
293.280		1652.09		1656.47	1656.47	1656.47	1690.66	1656.47	1690.66	-38.5729	
293.260		1678.67		1656.43	1656.43	1656.43	1691.50	1656.43	1691.50	-12.8310	
293.240		1685.82		1656.38	1656.38	1656.38	1692.37	1656.38	1692.37	-6.55755	
293.220		1647.52		1656.33	1656.33	1656.33	1693.28	1656.33	1693.28	-45.7629	
